fleet_num,drvid,fleet_pgrct
2,258794,LAA
2,541282,LAA
2,560023,LAA
2,937061,LAA
2,945865,LAA
3,251017,SBA
3,255083,SBA
3,261319,SBA
3,262180,SBA
3,268210,SBA
3,279603,SBA
3,579951,SBA
3,612104,SBA
3,690689,SBA
3,946881,SBA
3,949114,SBA
3,CF8918SU,SBA
4,238169,MRA
4,256659,MRA
4,610567,MRA
5,244706,MNA
5,299710,MNA
6,205318,SFA
6,250246,SFA
6,257691,SFA
6,516532,SFA
6,540648,SFA
6,556020,SFA
6,573944,SFA
6,594919,SFA
6,627808,SFA
6,670785,SFA
8,524780,BGA
8,578389,BGA
8,600823,BGA
8,604639,BGA
8,615126,BGA
8,650768,BGA
9,1037785,ERA
9,536665,ERA
9,538580,ERA
9,580568,ERA
9,611559,ERA
9,626266,ERA
9,630024,ERA
9,639209,ERA
9,655151,ERA
10,539091,CCA
12,527718,BRA
12,578678,BRA
12,589114,BRA
12,621170,BRA
12,921578,BRA
13,213184,CBA
13,277034,CBA
13,506059,CBA
13,511577,CBA
13,516880,CBA
13,533118,CBA
13,536838,CBA
13,553830,CBA
13,621638,CBA
13,909150,CBA
13,928882,CBA
13,936611,CBA
14,521200,NPA
14,532419,NPA
14,536873,NPA
14,578930,NPA
14,580055,NPA
14,589115,NPA
14,615774,NPA
14,626917,NPA
14,628959,NPA
14,633206,NPA
14,645410,NPA
14,913277,NPA
14,924585,NPA
16,220086,CLO
16,503182,CLO
16,511697,CLO
16,514665,CLO
16,528842,CLO
16,529532,CLO
16,530276,CLO
16,546053,CLO
16,547390,CLO
16,562157,CLO
16,565120,CLO
16,570945,CLO
16,578282,CLO
16,596156,CLO
16,598974,CLO
16,600788,CLO
16,605206,CLO
16,612155,CLO
16,617797,CLO
16,618440,CLO
16,626614,CLO
16,629499,CLO
16,968968,CLO
16,979437,CLO
17,629368,CLW
17,923632,CLW
18,584360,CWA
18,611524,CWA
18,932586,CWA
18,996920,CWA
19,522643,NPS
19,926699,NPS